Company,NSE,BSE,Data Source
Power Grid Corporation,POWERGRID.NS,532898.BO,Real Data
Reliance Industries Limited,RELIANCE.NS,500325.BO,Real Data
Shree Cement,SHREECEM.NS,532708.BO,Real Data
State Bank of India,SBIN.NS,500112.BO,Real Data
Sun Pharmaceutical,SUNPHARMA.NS,524715.BO,Real Data
Tata Consultancy Services,TCS.NS,532540.BO,Real Data
Tata Steel Limited,TATASTEEL.NS,500470.BO,Real Data
Tech Mahindra,TECHM.NS,532755.BO,Real Data
Ultratech Cement,ULTRACEMCO.NS,500696.BO,Real Data
Wipro Limited,WIPRO.NS,532580.BO,Real Data
Hindustan Motors,HINDMOTOR.NS,500182.BO,Synthetic Data
Hindusthan Industries,HINDSTEEL.NS,500182.BO,Synthetic Data
Indian Metals,INDIANMET.NS,500182.BO,Synthetic Data
Intel India,INTEL.NS,532187.BO,Synthetic Data
Interglobe Finance,INTERGLOB.NS,532885.BO,Synthetic Data
Ion Exchange,ION.NS,500182.BO,Synthetic Data
